study,n_samples,metric,mean,std
score_geometry,60,delta_hj,1.0184045455911814,0.03464085424767888
score_geometry,60,raw_accuracy,0.7333333333333336,0.0811854720796471
score_geometry,60,raw_auc,0.836060606060606,0.08290468267564895
score_geometry,60,godambe_accuracy,0.8396825396825398,0.08561134323912255
score_geometry,60,godambe_auc,0.9303030303030303,0.06565345757989198
score_geometry,100,delta_hj,1.0184045455911814,0.03464085424767888
score_geometry,100,raw_accuracy,0.7952380952380954,0.0825060981735754
score_geometry,100,raw_auc,0.8905228758169933,0.06363604694456303
score_geometry,100,godambe_accuracy,0.880952380952381,0.04431386713954986
score_geometry,100,godambe_auc,0.9557734204793028,0.03272038140802482
score_geometry,160,delta_hj,1.0184045455911814,0.03464085424767888
score_geometry,160,raw_accuracy,0.8071428571428572,0.0682943309964927
score_geometry,160,raw_auc,0.9016581632653061,0.049938952997107516
score_geometry,160,godambe_accuracy,0.8904761904761903,0.04673282482473934
score_geometry,160,godambe_auc,0.9614795918367347,0.02786418141375537
score_geometry,240,delta_hj,1.0184045455911814,0.03464085424767888
score_geometry,240,raw_accuracy,0.8380952380952381,0.045028755404775495
score_geometry,240,raw_auc,0.9272108843537415,0.034787615623724004
score_geometry,240,godambe_accuracy,0.9003968253968253,0.036432375220711674
score_geometry,240,godambe_auc,0.9687263794406653,0.0196857545010445
score_geometry,360,delta_hj,1.0184045455911814,0.03464085424767888
score_geometry,360,raw_accuracy,0.8764550264550264,0.041172215285959886
score_geometry,360,raw_auc,0.9524061476442429,0.02125743242016692
score_geometry,360,godambe_accuracy,0.9174603174603175,0.03657688451366004
score_geometry,360,godambe_auc,0.9778113714621651,0.020058545334318757
